"filename", "language", "JSON with Comments", "JavaScript", "XML", "JSON", "Markdown", "CSS", "JavaScript JSX", "comment", "blank", "total"
"/Users/georgeharris/Development/Research/react-aura-page/data/data_formatting.js", "JavaScript", 0, 245, 0, 0, 0, 0, 0, 14, 20, 279
"/Users/georgeharris/Development/Research/react-aura-page/eslint.config.mjs", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/georgeharris/Development/Research/react-aura-page/helpers/alexa_helpers.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 3, 45
"/Users/georgeharris/Development/Research/react-aura-page/helpers/api_service.js", "JavaScript", 0, 77, 0, 0, 0, 0, 0, 0, 5, 82
"/Users/georgeharris/Development/Research/react-aura-page/helpers/monitoring_helpers.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 3, 4, 59
"/Users/georgeharris/Development/Research/react-aura-page/helpers/profile_helpers.js", "JavaScript", 0, 71, 0, 0, 0, 0, 0, 40, 10, 121
"/Users/georgeharris/Development/Research/react-aura-page/jsconfig.json", "JSON with Comments", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/georgeharris/Development/Research/react-aura-page/libs/mongoDB.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/georgeharris/Development/Research/react-aura-page/models/Activity.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/georgeharris/Development/Research/react-aura-page/models/Personal.js", "JavaScript", 0, 75, 0, 0, 0, 0, 0, 0, 11, 86
"/Users/georgeharris/Development/Research/react-aura-page/next.config.mjs", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 1, 2, 7
"/Users/georgeharris/Development/Research/react-aura-page/package-lock.json", "JSON", 0, 0, 0, 5302, 0, 0, 0, 0, 1, 5303
"/Users/georgeharris/Development/Research/react-aura-page/package.json", "JSON", 0, 0, 0, 37, 0, 0, 0, 0, 1, 38
"/Users/georgeharris/Development/Research/react-aura-page/postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/georgeharris/Development/Research/react-aura-page/public/next.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/georgeharris/Development/Research/react-aura-page/public/vercel.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/georgeharris/Development/Research/react-aura-page/tailwind.config.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 1, 2, 33
"/Users/georgeharris/Development/Research/react-aura-page/utils/formatDate.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 1, 1, 12
"Total", "-", 10, 1549, 2, 5339, 15, 17, 737, 68, 214, 7951
